Time elapsed was 39258994ns or 0.039258994s,39258994,ns or,0.039258994,s
Time elapsed was 33528943ns or 0.033528943s,33528943,ns or,0.033528943,s
Time elapsed was 31917738ns or 0.031917738s,31917738,ns or,0.031917738,s
Time elapsed was 30854917ns or 0.030854917s,30854917,ns or,0.030854917,s
Time elapsed was 30890975ns or 0.030890975s,30890975,ns or,0.030890975,s
Time elapsed was 31145188ns or 0.031145188s,31145188,ns or,0.031145188,s
Time elapsed was 30809851ns or 0.030809851s,30809851,ns or,0.030809851,s
Time elapsed was 30677949ns or 0.030677949s,30677949,ns or,0.030677949,s
Time elapsed was 29861836ns or 0.029861836s,29861836,ns or,0.029861836,s
Time elapsed was 30031224ns or 0.030031224s,30031224,ns or,0.030031224,s
,,,,
,,,,
Total,,,0.318977615,
Mean,,,0.0318977615,
